sep=,
DeviceTag:,1
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2025-07-11_20:06:00_086 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,2268972329,-96.604095,-14.144427,43.073235,-0.022103,-0.080439,0.119097,0
2,2268988996,-96.597153,-14.187432,43.067364,0.113355,-0.127676,0.174898,0
3,2269005663,-96.562485,-14.227455,43.047550,0.049135,-0.035603,0.029658,0
4,2269022330,-96.541443,-14.262358,43.040192,-0.119586,0.039791,-0.185766,0
5,2269038997,-96.544441,-14.300365,43.033264,0.056586,0.042048,0.072801,0
6,2269055664,-96.553818,-14.334947,43.021812,0.016346,0.033161,0.200234,0
7,2269072331,-96.533752,-14.364723,43.005718,-0.088649,0.103005,0.014859,0
8,2269088998,-96.519218,-14.382836,42.994480,-0.062545,0.216435,-0.084160,0
9,2269105665,-96.520752,-14.401516,42.987892,-0.162419,0.183822,-0.188266,0
10,2269122332,-96.547523,-14.415819,42.988972,-0.107521,0.200775,0.014561,0
11,2269138999,-96.575233,-14.428751,42.976521,-0.111341,0.264779,0.004056,0
12,2269155666,-96.602837,-14.439072,42.955257,-0.109708,0.259899,0.044722,0
13,2269172333,-96.639580,-14.449147,42.932297,-0.010013,0.271633,0.059019,0
14,2269189000,-96.683052,-14.457537,42.893990,0.015285,0.260860,-0.033723,0
15,2269205667,-96.750038,-14.472603,42.858963,0.010976,0.147987,-0.110016,0
16,2269222334,-96.821381,-14.488973,42.827000,0.043412,-0.005917,0.019790,0
17,2269239001,-96.877289,-14.500134,42.800236,0.052366,-0.057476,0.128111,0
18,2269255668,-96.906044,-14.513164,42.779690,0.135197,-0.232753,0.143471,0
19,2269272335,-96.897713,-14.527869,42.781799,0.375241,-0.422007,0.170245,0
