sep=,
DeviceTag:,3
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2025-07-11_20:06:00_090 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,2268988996,72.179092,-17.299353,54.177799,-0.095862,0.119422,-0.021973,0
2,2269005663,72.174789,-17.257269,54.220261,-0.035485,0.131281,-0.080390,0
3,2269022330,72.174889,-17.211744,54.257626,0.034410,0.095208,-0.078526,0
4,2269038997,72.180939,-17.162689,54.288540,0.066213,-0.008774,0.018734,0
5,2269055664,72.176994,-17.114128,54.309750,0.125142,0.028863,-0.114621,0
6,2269072331,72.158150,-17.053167,54.356770,0.151971,-0.001730,-0.197721,0
7,2269088998,72.144928,-16.985594,54.405838,0.118862,-0.091894,-0.115247,0
8,2269105665,72.148026,-16.917038,54.452229,0.098972,-0.012878,-0.170703,0
9,2269122332,72.143013,-16.850033,54.497204,0.103859,0.003701,-0.172166,0
10,2269138999,72.133690,-16.774662,54.548546,0.041822,0.091310,-0.175485,0
11,2269155666,72.147240,-16.696112,54.594425,0.094590,0.119155,-0.178315,0
12,2269172333,72.159554,-16.605244,54.643734,0.091749,0.089554,-0.147809,0
13,2269189000,72.154686,-16.499130,54.699043,0.032442,0.114121,-0.114939,0
14,2269205667,72.155792,-16.379766,54.753941,0.079066,0.064203,-0.051892,0
15,2269222334,72.148033,-16.246735,54.814774,0.140302,0.020755,-0.060888,0
16,2269239001,72.119232,-16.096420,54.893829,0.268013,-0.016695,-0.101862,0
17,2269255668,72.076057,-15.928681,54.995052,0.402544,-0.013843,-0.120098,0
18,2269272335,72.018105,-15.736471,55.116043,0.464975,-0.125446,-0.092009,0
19,2269289002,71.920326,-15.534826,55.245911,0.398318,-0.201100,-0.125457,0
20,2269305669,71.829224,-15.331664,55.368305,0.348785,-0.230333,-0.162687,0
21,2269322336,71.764908,-15.136652,55.479118,0.357395,-0.277979,-0.214567,0
22,2269339003,71.741585,-14.951630,55.570179,0.366200,-0.232052,-0.257813,0
23,2269355670,71.788857,-14.764725,55.654774,0.357119,-0.186970,-0.184123,0
24,2269372337,71.901978,-14.577555,55.729118,0.383174,-0.212254,-0.114571,0
25,2269389004,72.039810,-14.389079,55.802731,0.449570,-0.287194,-0.207335,0
26,2269405671,72.193260,-14.205262,55.880970,0.469381,-0.320275,-0.217952,0
27,2269422338,72.387878,-14.032194,55.961819,0.365665,-0.252872,-0.259080,0
28,2269439005,72.642693,-13.878117,56.046562,0.233366,-0.104633,-0.267602,0
29,2269455672,72.960831,-13.737720,56.121578,0.149631,0.090024,-0.128592,0
30,2269472339,73.349815,-13.601926,56.198555,0.094459,0.162221,0.028014,0
31,2269489006,73.788818,-13.465397,56.281307,-0.014323,0.282001,0.084092,0
32,2269505673,74.237534,-13.311755,56.363529,-0.141594,0.263111,0.236138,0
33,2269522340,74.674896,-13.161178,56.442375,-0.151850,0.384677,0.097783,0
34,2269539007,75.075859,-13.045156,56.512505,-0.089464,0.216538,0.224115,0
35,2269555674,75.348099,-12.944132,56.622272,-0.131344,0.548115,-0.013274,0
36,2269572341,75.590454,-12.864493,56.774403,0.025751,0.360935,-0.063883,0
37,2269589008,75.867332,-12.781086,56.897842,-0.751033,-0.026747,0.387998,0
38,2269605675,75.917427,-12.703270,57.056797,-0.738563,0.161686,0.438768,0
39,2269622342,75.884178,-12.634153,57.296246,-0.563452,0.278853,0.172912,0
40,2269639009,75.809212,-12.575247,57.543011,-0.822688,0.242533,0.042583,0
41,2269655676,75.757545,-12.557099,57.719547,-0.313450,0.461123,0.081558,0
42,2269672343,75.556183,-12.497706,57.986702,-0.560583,0.744098,0.192343,0
43,2269689010,75.059021,-12.071092,58.892349,-0.926873,0.407718,0.357611,0
44,2269705677,75.038925,-12.079217,58.846561,-2.082165,-0.888940,-0.424378,0
45,2269722344,74.966743,-12.064438,58.875595,-0.900175,0.254175,-0.158023,0
46,2269739011,74.852425,-12.062957,58.912834,-0.473025,0.193478,0.061563,0
47,2269755678,74.764580,-12.061521,58.900997,-0.587555,0.078649,0.092039,0
48,2269772345,74.637016,-12.052832,58.876934,-0.446815,0.139242,0.073824,0
49,2269789012,74.480888,-12.045788,58.854267,-0.303915,0.215343,0.032930,0
50,2269805679,74.280083,-12.031713,58.832806,-0.165782,0.304701,0.109530,0
51,2269822346,74.043503,-12.013481,58.807835,-0.075575,0.410339,-0.019035,0
52,2269839013,73.795074,-12.003620,58.747852,0.055649,0.334873,0.266749,0
53,2269855680,73.399193,-11.971446,58.707588,0.026152,0.338305,0.119727,0
54,2269872347,73.009285,-11.931424,58.673771,-0.008295,0.331711,-0.063887,0
55,2269889014,72.698837,-11.906077,58.602962,0.171745,0.217113,0.012198,0
