sep=,
DeviceTag:,2
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2025-07-11_20:06:00_088 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
71,2270172353,-165.650894,-85.002838,77.157112,-0.190165,0.084309,-0.071043,0
72,2270189020,-164.411896,-85.147163,75.850288,-0.314428,0.134205,0.010641,0
73,2270205687,-163.288254,-85.260757,74.722115,-0.227874,0.054595,0.034206,0
74,2270222354,-162.444031,-85.361137,73.846207,-0.216662,0.110675,-0.003969,0
75,2270239021,-161.692566,-85.443710,73.107803,-0.284815,0.110484,0.000793,0
76,2270255688,-161.115189,-85.505783,72.563560,-0.153179,0.084492,-0.039018,0
77,2270272355,-160.690964,-85.547546,72.187943,-0.151168,0.028287,-0.068791,0
78,2270289022,-160.464859,-85.565620,72.017609,-0.115199,0.084967,0.043852,0
79,2270305689,-160.512268,-85.574997,72.066238,-0.019423,0.124220,-0.025028,0
80,2270322356,-160.801636,-85.578186,72.279716,-0.125914,0.096554,0.029442,0
81,2270339023,-161.229904,-85.576805,72.627670,-0.192065,0.098227,0.175523,0
82,2270355690,-161.681503,-85.567299,73.066795,-0.105866,-0.104277,0.051751,0
83,2270372357,-162.112549,-85.537796,73.510284,0.130811,-0.152559,-0.140616,0
84,2270389024,-162.569763,-85.495895,73.934685,0.149473,-0.036350,-0.054657,0
85,2270405691,-163.040451,-85.458519,74.337090,0.001034,0.033902,-0.009606,0
86,2270422358,-163.479126,-85.431946,74.685501,-0.158399,0.056521,0.161770,0
87,2270439025,-163.939835,-85.400665,75.100578,-0.140711,-0.103242,0.080760,0
88,2270455692,-164.382919,-85.366043,75.530434,-0.087343,-0.147025,0.125678,0
89,2270472359,-164.782654,-85.332512,75.927338,-0.044235,0.004904,0.107264,0
