sep=,
DeviceTag:,5
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2025-07-11_20:06:00_078 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,2268988996,3.573545,-61.506298,132.210602,0.011145,-0.435826,0.001064,0
2,2269005663,3.380306,-61.630459,132.400467,0.208673,-0.328219,-0.150583,0
3,2269022330,3.198611,-61.826908,132.602173,0.295222,-0.461096,-0.294999,0
4,2269038997,3.036089,-62.168110,132.798492,0.264042,-0.667413,-0.252995,0
5,2269055664,2.862616,-62.602154,132.996552,0.112978,-0.751848,-0.148269,0
6,2269072331,2.616726,-63.047928,133.228165,0.112635,-0.739417,-0.120583,0
7,2269088998,2.305217,-63.504021,133.490143,0.283019,-0.601227,-0.195665,0
8,2269105665,1.972938,-64.010391,133.782578,0.410207,-0.579194,-0.275871,0
9,2269122332,1.648284,-64.646179,134.089233,0.375430,-0.534946,-0.367508,0
10,2269138999,1.313380,-65.336639,134.430069,0.287218,-0.480662,-0.400208,0
11,2269155666,0.895342,-66.054176,134.836014,0.292699,-0.670524,-0.384380,0
12,2269172333,0.407468,-66.883781,135.310043,0.287578,-0.633500,-0.384571,0
13,2269189000,-0.152790,-67.761879,135.847733,0.180282,-0.453600,-0.292791,0
14,2269205667,-0.791143,-68.604698,136.459854,0.048140,-0.474694,-0.340429,0
15,2269222334,-1.516288,-69.464706,137.144516,0.130736,-0.562637,-0.470222,0
16,2269239001,-2.340087,-70.469162,137.936676,0.028176,-0.494845,-0.475926,0
17,2269255668,-3.268900,-71.508369,138.838593,-0.088781,-0.397648,-0.384667,0
18,2269272335,-4.364220,-72.535522,139.898224,-0.034881,-0.422100,-0.367506,0
19,2269289002,-5.712851,-73.648605,141.213882,-0.007411,-0.281172,-0.219949,0
20,2269305669,-7.282041,-74.774239,142.770859,-0.092669,-0.170410,-0.160600,0
21,2269322336,-9.059966,-75.860352,144.539734,-0.096520,-0.177203,-0.057458,0
22,2269339003,-10.988129,-76.836937,146.459549,-0.042122,-0.179571,-0.069833,0
23,2269355670,-13.066983,-77.809998,148.527512,-0.092332,-0.194119,-0.131464,0
24,2269372337,-15.362209,-78.788101,150.812683,-0.344891,-0.033730,-0.089233,0
25,2269389004,-17.923656,-79.655197,153.355743,-0.268875,0.046140,-0.136934,0
26,2269405671,-21.229044,-80.606064,156.632721,-0.046821,0.156948,-0.176364,0
27,2269422338,-25.440912,-81.568626,160.828766,-0.259416,0.386158,0.106071,0
28,2269439005,-30.071342,-82.376663,165.455704,-0.394924,0.426847,0.333020,0
29,2269455672,-35.130260,-83.077797,170.500671,-0.321693,0.377459,0.336096,0
30,2269472339,-40.722618,-83.708611,176.068283,-0.385302,0.484616,0.420327,0
31,2269489006,-46.684422,-84.257172,-178.002975,-0.186292,0.666670,0.579194,0
32,2269505673,-53.591667,-84.744949,-171.111008,-0.256534,1.060359,0.702750,0
33,2269522340,-61.146873,-85.114807,-163.532837,-0.409382,1.316826,0.772772,0
34,2269539007,-68.965187,-85.355064,-155.640930,-0.478471,1.260043,0.811816,0
35,2269555674,-77.277351,-85.485039,-147.226852,-0.428096,1.120408,0.944842,0
