sep=,
DeviceTag:,4
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2025-07-11_20:06:00_091 WEST
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1,2268988996,178.550140,-79.094131,-69.265442,-0.100857,-0.081870,-0.108798,0
2,2269005663,178.686996,-79.121597,-69.451302,-0.003583,0.207127,-0.000972,0
3,2269022330,178.789490,-79.155777,-69.597801,-0.257152,-0.279482,-0.078028,0
4,2269038997,178.682266,-79.162369,-69.685898,-0.196670,-0.118628,-0.036935,0
5,2269055664,178.624695,-79.164154,-69.752625,0.119221,0.155981,-0.015281,0
6,2269072331,178.653046,-79.166641,-69.815285,0.013816,-0.062616,-0.188668,0
7,2269088998,178.580170,-79.145081,-69.819817,-0.019980,-0.013635,-0.176833,0
8,2269105665,178.486252,-79.127426,-69.751404,0.086846,0.143532,-0.094700,0
9,2269122332,178.375854,-79.100540,-69.637207,-0.030101,0.119590,-0.158430,0
10,2269138999,178.228439,-79.068306,-69.480667,-0.054562,0.049559,-0.127282,0
11,2269155666,178.041183,-79.032608,-69.274513,-0.026515,0.069631,-0.152617,0
12,2269172333,177.805725,-78.990486,-69.003967,0.008477,0.142232,-0.167980,0
13,2269189000,177.562973,-78.949303,-68.687752,0.020311,-0.023314,-0.119360,0
14,2269205667,177.244614,-78.896904,-68.329910,-0.064131,-0.035912,-0.075774,0
15,2269222334,176.936432,-78.838631,-67.966049,-0.056073,-0.024435,-0.060905,0
16,2269239001,176.597992,-78.764221,-67.577438,-0.078452,-0.029020,-0.103225,0
17,2269255668,176.209473,-78.669266,-67.132820,-0.006685,0.053570,-0.134264,0
18,2269272335,175.804947,-78.553688,-66.637726,0.035767,0.017117,-0.228737,0
19,2269289002,175.382706,-78.416939,-66.097252,0.042127,-0.077623,-0.181201,0
20,2269305669,174.941971,-78.260162,-65.533440,-0.038861,-0.055799,-0.117184,0
21,2269322336,174.496506,-78.079872,-64.945915,-0.039873,-0.054399,-0.183499,0
